platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/the-night-agent/
netflix,2,The Night Agent,https://flixpatrol.com/title/the-night-agent/
netflix,3,"XO, Kitty",https://flixpatrol.com/title/xo-kitty/
netflix,4,Squid Game,https://flixpatrol.com/title/squid-game/
netflix,5,American Primeval,https://flixpatrol.com/title/american-primeval/
netflix,6,Sakamoto Days,https://flixpatrol.com/title/sakamoto-days/
netflix,7,The Trauma Code: Heroes on Call,https://flixpatrol.com/title/the-trauma-code-heroes-on-call/
netflix,8,Fake Profile,https://flixpatrol.com/title/fake-profile/
netflix,9,Missing You,https://flixpatrol.com/title/missing-you-2025/
netflix,10,The Breakthrough,https://flixpatrol.com/title/the-breakthrough-2025/
netflix,11,W.A.G.s to Riches,https://flixpatrol.com/title/wags-to-riches/
hbo,1,,https://flixpatrol.com/title/the-pitt/
hbo,2,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,3,The Sex Lives of College Girls,https://flixpatrol.com/title/the-sex-lives-of-college-girls/
hbo,4,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,5,SAS: Rogue Heroes,https://flixpatrol.com/title/sas-rogue-heroes/
hbo,6,Brilliant Minds,https://flixpatrol.com/title/brilliant-minds/
hbo,7,Bookie,https://flixpatrol.com/title/bookie/
hbo,8,Professor T,https://flixpatrol.com/title/professor-t/
hbo,9,ER,https://flixpatrol.com/title/er/
hbo,10,Strike,https://flixpatrol.com/title/strike-2017/
hbo,11,Harley Quinn,https://flixpatrol.com/title/harley-quinn/
disney,1,,https://flixpatrol.com/title/high-potential/
disney,2,High Potential,https://flixpatrol.com/title/high-potential/
disney,3,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,4,Modern Family,https://flixpatrol.com/title/modern-family/
disney,5,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,6,Bluey,https://flixpatrol.com/title/bluey/
disney,7,Desperate Housewives,https://flixpatrol.com/title/desperate-housewives/
disney,8,Criminal Minds,https://flixpatrol.com/title/criminal-minds/
disney,9,How I Met Your Mother,https://flixpatrol.com/title/how-i-met-your-mother/
disney,10,9-1-1,https://flixpatrol.com/title/9-1-1/
disney,11,Goosebumps: The Vanishing,https://flixpatrol.com/title/goosebumps-the-vanishing/
apple-tv,1,,https://flixpatrol.com/title/severance-2022/
apple-tv,2,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,3,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,4,Prime Target,https://flixpatrol.com/title/prime-target/
apple-tv,5,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,6,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,7,Bad Sisters,https://flixpatrol.com/title/bad-sisters/
apple-tv,8,Slow Horses,https://flixpatrol.com/title/slow-horses/
apple-tv,9,See,https://flixpatrol.com/title/see/
apple-tv,10,The Morning Show,https://flixpatrol.com/title/the-morning-show/
apple-tv,11,Disclaimer,https://flixpatrol.com/title/disclaimer/
amazon-prime,1,,https://flixpatrol.com/title/beast-games/
amazon-prime,2,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,3,On Call,https://flixpatrol.com/title/on-call/
amazon-prime,4,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
amazon-prime,5,Secret Level,https://flixpatrol.com/title/secret-level/
amazon-prime,6,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,7,Molly Mae: Behind It All,https://flixpatrol.com/title/molly-mae-behind-it-all/
amazon-prime,8,Cruel Intentions,https://flixpatrol.com/title/cruel-intentions-2024/
amazon-prime,9,Marry My Husband,https://flixpatrol.com/title/marry-my-husband/
amazon-prime,10,Harlem,https://flixpatrol.com/title/harlem/
amazon-prime,11,Paatal Lok,https://flixpatrol.com/title/paatal-lok/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,4,Tulsa King,https://flixpatrol.com/title/tulsa-king/
paramount-plus,5,Dexter: Original Sin,https://flixpatrol.com/title/dexter-original-sin/
paramount-plus,6,Lioness,https://flixpatrol.com/title/lioness/
paramount-plus,7,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,8,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,9,Scorpion,https://flixpatrol.com/title/scorpion/
paramount-plus,10,Evil,https://flixpatrol.com/title/evil-2019/
paramount-plus,11,Dexter,https://flixpatrol.com/title/dexter/
